# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
2.97771040337e+16, 1.87069090399e+37, 4.5e+39, 0.0101045737903
2.96647779768e+16, 1.86286637276e+37, 4.49e+39, 0.0100871666011
2.95526456114e+16, 1.85505761448e+37, 4.48e+39, 0.0100697557682
2.94407069782e+16, 1.84726463041e+37, 4.47e+39, 0.0100523412779
2.93289621181e+16, 1.83948742181e+37, 4.46e+39, 0.0100349231169
2.92174110718e+16, 1.83172598992e+37, 4.45e+39, 0.0100175012714
2.91060538806e+16, 1.82398033603e+37, 4.44e+39, 0.0100000757276
2.89948905855e+16, 1.8162504614e+37, 4.43e+39, 0.00998264647182
2.8883921228e+16, 1.8085363673e+37, 4.42e+39, 0.00996521349012
2.87731458496e+16, 1.80083805502e+37, 4.41e+39, 0.0099477767685
2.86625644921e+16, 1.79315552583e+37, 4.4e+39, 0.00993033629292
2.85521771972e+16, 1.78548878103e+37, 4.39e+39, 0.00991289204922
2.84419840069e+16, 1.77783782192e+37, 4.38e+39, 0.00989544402314
2.83319849635e+16, 1.77020264978e+37, 4.37e+39, 0.00987799220041
2.82221801091e+16, 1.76258326594e+37, 4.36e+39, 0.00986053656658
2.81125694864e+16, 1.75497967168e+37, 4.35e+39, 0.00984307710718
2.8003153138e+16, 1.74739186834e+37, 4.34e+39, 0.00982561380763
2.78939311066e+16, 1.73981985723e+37, 4.33e+39, 0.00980814665324
2.77849034353e+16, 1.73226363967e+37, 4.32e+39, 0.00979067562924
2.76760701671e+16, 1.72472321699e+37, 4.31e+39, 0.00977320072078
2.75674313454e+16, 1.71719859053e+37, 4.3e+39, 0.00975572191292
2.74589870137e+16, 1.70968976163e+37, 4.29e+39, 0.00973823919063
2.73507372155e+16, 1.70219673163e+37, 4.28e+39, 0.00972075253876
2.72426819947e+16, 1.69471950189e+37, 4.27e+39, 0.00970326194212
2.71348213953e+16, 1.68725807376e+37, 4.26e+39, 0.00968576738536
2.70271554614e+16, 1.67981244859e+37, 4.25e+39, 0.00966826885306
2.69196842373e+16, 1.67238262777e+37, 4.24e+39, 0.00965076632973
2.68124077675e+16, 1.66496861265e+37, 4.23e+39, 0.00963325979974
2.67053260967e+16, 1.65757040462e+37, 4.22e+39, 0.00961574924739
2.65984392697e+16, 1.65018800506e+37, 4.21e+39, 0.0095982346569
2.64917473315e+16, 1.64282141535e+37, 4.2e+39, 0.00958071601234
2.63852503274e+16, 1.6354706369e+37, 4.19e+39, 0.0095631932977
2.62789483027e+16, 1.6281356711e+37, 4.18e+39, 0.00954566649689
2.61728413029e+16, 1.62081651935e+37, 4.17e+39, 0.00952813559369
2.60669293738e+16, 1.61351318307e+37, 4.16e+39, 0.0095106005718
2.59612125613e+16, 1.60622566367e+37, 4.15e+39, 0.00949306141477
2.58556909115e+16, 1.59895396257e+37, 4.14e+39, 0.00947551810611
2.57503644707e+16, 1.59169808121e+37, 4.13e+39, 0.00945797062918
2.56452332854e+16, 1.58445802101e+37, 4.12e+39, 0.00944041896726
2.55402974022e+16, 1.57723378342e+37, 4.11e+39, 0.00942286310351
2.54355568679e+16, 1.57002536988e+37, 4.1e+39, 0.00940530302094
2.53310117296e+16, 1.56283278183e+37, 4.09e+39, 0.00938773870252
2.52266620345e+16, 1.55565602075e+37, 4.08e+39, 0.00937017013107
2.512250783e+16, 1.54849508809e+37, 4.07e+39, 0.00935259728932
2.50185491638e+16, 1.54134998531e+37, 4.06e+39, 0.00933502015985
2.49147860836e+16, 1.53422071391e+37, 4.05e+39, 0.00931743872517
2.48112186375e+16, 1.52710727534e+37, 4.04e+39, 0.00929985296764
2.47078468735e+16, 1.52000967112e+37, 4.03e+39, 0.00928226286953
2.46046708402e+16, 1.51292790272e+37, 4.02e+39, 0.00926466841299
2.45016905861e+16, 1.50586197164e+37, 4.01e+39, 0.00924706958002
2.439890616e+16, 1.4988118794e+37, 4e+39, 0.00922946635255
2.42963176109e+16, 1.4917776275e+37, 3.99e+39, 0.00921185871235
2.4193924988e+16, 1.48475921747e+37, 3.98e+39, 0.00919424664107
2.40917283407e+16, 1.47775665082e+37, 3.97e+39, 0.00917663012029
2.39897277186e+16, 1.4707699291e+37, 3.96e+39, 0.0091590091314
2.38879231715e+16, 1.46379905383e+37, 3.95e+39, 0.00914138365571
2.37863147495e+16, 1.45684402657e+37, 3.94e+39, 0.00912375367437
2.36849025027e+16, 1.44990484885e+37, 3.93e+39, 0.00910611916843
2.35836864817e+16, 1.44298152225e+37, 3.92e+39, 0.00908848011881
2.3482666737e+16, 1.43607404833e+37, 3.91e+39, 0.00907083650628
2.33818433197e+16, 1.42918242865e+37, 3.9e+39, 0.00905318831152
2.32812162806e+16, 1.42230666479e+37, 3.89e+39, 0.00903553551501
2.31807856712e+16, 1.41544675834e+37, 3.88e+39, 0.00901787809716
2.30805515431e+16, 1.40860271089e+37, 3.87e+39, 0.00900021603825
2.29805139478e+16, 1.40177452403e+37, 3.86e+39, 0.00898254931835
2.28806729375e+16, 1.39496219938e+37, 3.85e+39, 0.00896487791749
2.27810285642e+16, 1.38816573855e+37, 3.84e+39, 0.00894720181548
2.26815808805e+16, 1.38138514315e+37, 3.83e+39, 0.00892952099203
2.25823299389e+16, 1.3746204148e+37, 3.82e+39, 0.0089118354267
2.24832757923e+16, 1.36787155515e+37, 3.81e+39, 0.00889414509893
2.23844184938e+16, 1.36113856583e+37, 3.8e+39, 0.00887644998799
2.22857580968e+16, 1.3544214485e+37, 3.79e+39, 0.00885875007302
2.21872946549e+16, 1.3477202048e+37, 3.78e+39, 0.008841045333
2.20890282218e+16, 1.3410348364e+37, 3.77e+39, 0.00882333574676
2.19909588515e+16, 1.33436534496e+37, 3.76e+39, 0.00880562129302
2.18930865984e+16, 1.32771173218e+37, 3.75e+39, 0.0087879019503
2.17954115169e+16, 1.32107399972e+37, 3.74e+39, 0.00877017769699
2.16979336619e+16, 1.31445214928e+37, 3.73e+39, 0.00875244851134
2.16006530883e+16, 1.30784618256e+37, 3.72e+39, 0.00873471437141
2.15035698512e+16, 1.30125610128e+37, 3.71e+39, 0.00871697525512
2.14066840064e+16, 1.29468190713e+37, 3.7e+39, 0.00869923114026
2.13099956094e+16, 1.28812360186e+37, 3.69e+39, 0.00868148200443
2.12135047164e+16, 1.28158118718e+37, 3.68e+39, 0.00866372782507
2.11172113834e+16, 1.27505466484e+37, 3.67e+39, 0.00864596857946
2.10211156669e+16, 1.26854403657e+37, 3.66e+39, 0.00862820424471
2.0925217624e+16, 1.26204930415e+37, 3.65e+39, 0.00861043479781
2.08295173113e+16, 1.25557046932e+37, 3.64e+39, 0.0085926602155
2.07340147862e+16, 1.24910753387e+37, 3.63e+39, 0.00857488047442
2.06387101064e+16, 1.24266049956e+37, 3.62e+39, 0.00855709555102
2.05436033294e+16, 1.23622936819e+37, 3.61e+39, 0.00853930542155
2.04486945135e+16, 1.22981414155e+37, 3.6e+39, 0.00852151006214
2.03539837168e+16, 1.22341482144e+37, 3.59e+39, 0.00850370944866
2.02594709981e+16, 1.21703140968e+37, 3.58e+39, 0.0084859035569
2.01651564162e+16, 1.21066390809e+37, 3.57e+39, 0.00846809236241
2.00710400302e+16, 1.20431231849e+37, 3.56e+39, 0.00845027584056
1.99771218994e+16, 1.19797664272e+37, 3.55e+39, 0.00843245396656
1.98834020837e+16, 1.19165688263e+37, 3.54e+39, 0.00841462671542
1.9789880643e+16, 1.18535304008e+37, 3.53e+39, 0.00839679406196
1.96965576375e+16, 1.17906511693e+37, 3.52e+39, 0.00837895598081
1.96034331277e+16, 1.17279311505e+37, 3.51e+39, 0.00836111244645
1.95105071745e+16, 1.16653703632e+37, 3.5e+39, 0.00834326343309
1.94177798389e+16, 1.16029688263e+37, 3.49e+39, 0.0083254089148
1.93252511824e+16, 1.15407265589e+37, 3.48e+39, 0.00830754886544
1.92329212667e+16, 1.14786435799e+37, 3.47e+39, 0.00828968325868
1.91407901537e+16, 1.14167199087e+37, 3.46e+39, 0.00827181206796
1.90488579056e+16, 1.13549555644e+37, 3.45e+39, 0.00825393526654
1.89571245852e+16, 1.12933505665e+37, 3.44e+39, 0.00823605282748
1.88655902552e+16, 1.12319049344e+37, 3.43e+39, 0.0082181647236
1.87742549788e+16, 1.11706186876e+37, 3.42e+39, 0.00820027092755
1.86831188195e+16, 1.11094918458e+37, 3.41e+39, 0.00818237141173
1.85921818411e+16, 1.10485244288e+37, 3.4e+39, 0.00816446614836
1.85014441077e+16, 1.09877164563e+37, 3.39e+39, 0.00814655510942
1.84109056838e+16, 1.09270679484e+37, 3.38e+39, 0.00812863826667
1.8320566634e+16, 1.08665789251e+37, 3.37e+39, 0.00811071559167
1.82304270234e+16, 1.08062494065e+37, 3.36e+39, 0.00809278705572
