# mass density [erg/cm3], pressure  [erg/cm3], baryon density [1/cm3], chemical potential [erg]
4821.56578451, 3065.35429888, 4.5, 1752.64890742
4804.05351818, 3052.56755879, 4.49, 1749.80424877
4786.56970221, 3039.80586525, 4.48, 1746.95883202
4769.11434421, 3027.06922088, 4.47, 1744.11265438
4751.68745181, 3014.35762829, 4.46, 1741.26571303
4734.28903265, 3001.6710901, 4.45, 1738.41800511
4716.91909443, 2989.00960894, 4.44, 1735.56952779
4699.57764481, 2976.37318746, 4.43, 1732.72027816
4682.26469158, 2963.7618283, 4.42, 1729.87025337
4664.98024249, 2951.17553414, 4.41, 1727.01945048
4647.72430533, 2938.61430763, 4.4, 1724.16786658
4630.49688792, 2926.07815148, 4.39, 1721.31549872
4613.29799812, 2913.56706836, 4.38, 1718.46234394
4596.12764382, 2901.08106098, 4.37, 1715.60839927
4578.98583293, 2888.62013206, 4.36, 1712.7536617
4561.87257339, 2876.18428432, 4.35, 1709.89812821
4544.78787319, 2863.77352049, 4.34, 1707.04179578
4527.73174031, 2851.38784332, 4.33, 1704.18466135
4510.70418281, 2839.02725557, 4.32, 1701.32672185
4493.70520873, 2826.69175999, 4.31, 1698.46797418
4476.73482618, 2814.38135938, 4.3, 1695.60841524
4459.79304329, 2802.09605651, 4.29, 1692.74804191
4442.87986822, 2789.83585418, 4.28, 1689.88685103
4425.99530916, 2777.60075521, 4.27, 1687.02483943
4409.13937435, 2765.39076242, 4.26, 1684.16200394
4392.31207201, 2753.20587863, 4.25, 1681.29834133
4375.51341045, 2741.04610669, 4.24, 1678.43384838
4358.74339798, 2728.91144945, 4.23, 1675.56852185
4342.00204296, 2716.80190979, 4.22, 1672.70235847
4325.28935378, 2704.71749057, 4.21, 1669.83535495
4308.60533884, 2692.65819469, 4.2, 1666.96750798
4291.95000661, 2680.62402504, 4.19, 1664.09881423
4275.32336555, 2668.61498453, 4.18, 1661.22927036
4258.72542421, 2656.6310761, 4.17, 1658.35887297
4242.15619112, 2644.67230267, 4.16, 1655.4876187
4225.61567488, 2632.73866718, 4.15, 1652.61550411
4209.10388409, 2620.83017261, 4.14, 1649.74252577
4192.62082742, 2608.94682191, 4.13, 1646.86868022
4176.16651356, 2597.08861808, 4.12, 1643.99396399
4159.74095123, 2585.2555641, 4.11, 1641.11837356
4143.34414919, 2573.44766298, 4.1, 1638.24190541
4126.97611623, 2561.66491775, 4.09, 1635.36455599
4110.6368612, 2549.90733142, 4.08, 1632.48632172
4094.32639294, 2538.17490706, 4.07, 1629.60719902
4078.04472037, 2526.4676477, 4.06, 1626.72718425
4061.79185242, 2514.78555643, 4.05, 1623.84627379
4045.56779807, 2503.12863632, 4.04, 1620.96446396
4029.37256633, 2491.49689047, 4.03, 1618.08175107
4013.20616625, 2479.89032198, 4.02, 1615.1981314
3997.06860692, 2468.30893398, 4.01, 1612.31360122
3980.95989746, 2456.7527296, 4.0, 1609.42815676
3964.88004704, 2445.22171198, 3.99, 1606.54179424
3948.82906483, 2433.71588428, 3.98, 1603.65450983
3932.80696011, 2422.23524968, 3.97, 1600.7662997
3916.81374213, 2410.77981136, 3.96, 1597.87715997
3900.84942022, 2399.34957252, 3.95, 1594.98708677
3884.91400371, 2387.94453638, 3.94, 1592.09607617
3869.00750202, 2376.56470616, 3.93, 1589.20412422
3853.12992457, 2365.2100851, 3.92, 1586.31122696
3837.28128084, 2353.88067646, 3.91, 1583.41738038
3821.46158035, 2342.57648351, 3.9, 1580.52258048
3805.67083262, 2331.29750952, 3.89, 1577.62682317
